epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8731,2.64686,6.46094,2.75264,0.00193,0.97059,0.0226,0.00515,2.46071,5.2845,2.52281,0.00026,0.00026,0.00026
2,50.7405,2.18299,4.80173,2.1076,0.00199,1,0.62579,0.17995,2.18957,4.70924,2.03455,0.000534605,0.000534605,0.000534605
3,78.2914,2.07207,4.13934,2.08171,0.00158,0.79412,0.09042,0.01644,2.26212,4.84296,2.38137,0.000803616,0.000803616,0.000803616
4,111.13,2.21626,4.30256,2.0586,0.26965,0.14706,0.20593,0.05873,2.60837,5.85804,2.73299,0.00106703,0.00106703,0.00106703
5,141.902,2.24178,4.21736,2.02113,0.05153,0.35294,0.03952,0.00934,2.64536,14.2239,6.71698,0.00132486,0.00132486,0.00132486
6,172.199,2.22405,3.76894,2.11973,0.03766,0.35294,0.02638,0.00381,3.47962,43.0353,12.0066,0.00157708,0.00157708,0.00157708
7,199.515,2.13733,3.52407,2.01021,0.00777,0.55882,0.0317,0.00354,3.74646,inf,28.7976,0.00182372,0.00182372,0.00182372
8,236.957,2.15925,3.31516,1.94648,0.00716,0.67647,0.00768,0.00204,2.87236,inf,5.45754,0.00186014,0.00186014,0.00186014
9,269.258,2.29108,2.83861,2.03181,0.09524,0.17647,0.08701,0.02605,2.66367,51.1107,2.75161,0.00184016,0.00184016,0.00184016
10,307.274,2.21897,2.95672,2.03727,0.30418,0.44118,0.30713,0.09045,2.28797,4.24647,2.21183,0.00182018,0.00182018,0.00182018
11,334.132,2.15697,2.6889,1.90714,0.20879,0.52941,0.22188,0.06525,2.35856,7.2579,2.29884,0.0018002,0.0018002,0.0018002
12,372.812,2.08356,2.51231,1.91301,0.40233,0.58824,0.3533,0.08803,2.25313,5.47496,2.36329,0.00178022,0.00178022,0.00178022
