epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8516,2.61538,4.34766,2.38517,0.30455,0.17544,0.08659,0.02517,2.74192,3.5792,2.52093,0.00026,0.00026,0.00026
2,59.9705,2.36942,3.33908,2.07126,0.05708,0.17544,0.04094,0.01273,2.90129,3.07155,2.61789,0.000534605,0.000534605,0.000534605
3,89.5772,2.30432,2.85957,2.04294,0.10722,0.07018,0.05083,0.01044,2.80729,3.11787,2.66163,0.000803616,0.000803616,0.000803616
4,116.806,2.03909,2.87523,1.99909,0.08961,0.17544,0.05485,0.01172,3.15998,3.18841,3.11658,0.00106703,0.00106703,0.00106703
5,148.536,2.01665,2.90629,1.98217,0.11119,0.21053,0.10915,0.03089,2.1597,2.88349,2.2125,0.00132486,0.00132486,0.00132486
6,175.988,2.04222,2.79048,1.96062,0.02153,0.22807,0.02717,0.01011,2.19207,3.18697,2.03439,0.00157708,0.00157708,0.00157708
7,204.896,2.04145,2.72784,1.98662,0.11254,0.19298,0.05153,0.01703,2.06085,3.90757,2.02823,0.00182372,0.00182372,0.00182372
8,239.601,2.02544,2.68677,1.95406,0.06061,0.17544,0.05968,0.02119,1.85558,2.78222,1.87381,0.00186014,0.00186014,0.00186014
9,271.953,1.95402,2.60787,1.86826,0.15705,0.24561,0.10396,0.03891,2.05874,3.14319,2.08459,0.00184016,0.00184016,0.00184016
10,306.866,1.94635,2.63328,1.91019,0.32686,0.2641,0.16542,0.05531,1.72413,2.8044,1.911,0.00182018,0.00182018,0.00182018
11,330.408,1.93739,2.57322,1.86375,0.24375,0.22807,0.19761,0.0642,1.8662,2.48684,2.03284,0.0018002,0.0018002,0.0018002
12,358.123,1.92676,2.51146,1.87339,0.1472,0.31579,0.14952,0.0549,1.76355,3.23325,1.9392,0.00178022,0.00178022,0.00178022
13,394.741,1.87162,2.54297,1.83417,0.16657,0.22807,0.15476,0.05085,1.7451,3.61447,1.91537,0.00176024,0.00176024,0.00176024
14,432.4,1.8723,2.58624,1.832,0.27909,0.14035,0.15618,0.06259,1.93031,2.89521,2.03619,0.00174026,0.00174026,0.00174026
15,469.323,1.77841,2.51191,1.78709,0.18235,0.24561,0.21472,0.08858,1.65141,2.73948,1.82871,0.00172028,0.00172028,0.00172028
16,494.719,1.78618,2.40046,1.75555,0.2696,0.21053,0.26578,0.10737,1.59542,2.25972,1.69042,0.0017003,0.0017003,0.0017003
17,523.439,1.71038,2.33107,1.7071,0.19873,0.59649,0.24784,0.09718,1.63705,2.24418,1.68114,0.00168032,0.00168032,0.00168032
18,560.386,1.74678,2.40257,1.74368,0.32033,0.38596,0.31819,0.13898,1.67827,2.16779,1.76595,0.00166034,0.00166034,0.00166034
19,597.396,1.70993,2.38014,1.72638,0.16103,0.2807,0.19176,0.08465,1.53129,2.36425,1.70233,0.00164036,0.00164036,0.00164036
20,631.854,1.72233,2.33572,1.7394,0.17767,0.29825,0.19613,0.08109,1.51863,2.31552,1.7415,0.00162038,0.00162038,0.00162038
21,656.662,1.63878,2.3281,1.71225,0.31793,0.45614,0.34136,0.16385,1.42672,2.07744,1.69428,0.0016004,0.0016004,0.0016004
22,692.365,1.67618,2.30858,1.71134,0.28662,0.36842,0.31473,0.13134,1.44829,2.08557,1.64814,0.00158042,0.00158042,0.00158042
23,726.582,1.66493,2.22289,1.67644,0.27621,0.74317,0.27841,0.11943,1.41114,2.03109,1.58207,0.00156044,0.00156044,0.00156044
24,760.55,1.64746,2.20608,1.63374,0.26496,0.50877,0.27197,0.12151,1.53608,2.03022,1.67566,0.00154046,0.00154046,0.00154046
25,793.115,1.70392,2.20913,1.66414,0.2998,0.52632,0.34498,0.13435,1.93374,1.93643,1.9581,0.00152048,0.00152048,0.00152048
26,818.653,1.67592,2.22236,1.66271,0.35744,0.45614,0.39845,0.18494,1.51274,1.98131,1.68638,0.0015005,0.0015005,0.0015005
27,845.313,1.66671,2.13511,1.65683,0.45421,0.73005,0.55615,0.27897,1.39355,1.73532,1.59624,0.00148052,0.00148052,0.00148052
28,878.182,1.62227,2.14083,1.63241,0.525,0.7193,0.63287,0.27503,1.40948,1.74278,1.61209,0.00146054,0.00146054,0.00146054
29,918.393,1.63986,2.16829,1.63912,0.54965,0.7193,0.56659,0.24782,1.53761,1.7886,1.66269,0.00144056,0.00144056,0.00144056
30,956.757,1.5953,2.07362,1.64355,0.36693,0.57895,0.42012,0.19126,1.29143,1.85835,1.57188,0.00142058,0.00142058,0.00142058
31,987.921,1.61334,2.15693,1.65992,0.54215,0.6648,0.51393,0.24823,1.53034,1.75211,1.69919,0.0014006,0.0014006,0.0014006
32,1026.13,1.64623,2.17359,1.69711,0.37802,0.65044,0.45997,0.22921,1.32366,1.76747,1.60258,0.00138062,0.00138062,0.00138062
33,1064.41,1.60629,2.09158,1.62643,0.44239,0.7193,0.49201,0.24047,1.21655,1.69115,1.55418,0.00136064,0.00136064,0.00136064
34,1108.38,1.59768,2.08768,1.60328,0.42975,0.71399,0.56608,0.25209,1.34253,1.69943,1.63142,0.00134066,0.00134066,0.00134066
35,1150.2,1.58914,2.06877,1.60917,0.56119,0.63158,0.70859,0.31443,1.24314,1.64724,1.54464,0.00132068,0.00132068,0.00132068
